Digital Control Engineering,M. Sami Fadali,9780123943910,582
Foundations of Analog and Digital Electronic Circuits,Anant Agarwal,9781558607354,984
The Physics of Solar Cells,Jenny Nelson,9781860943492,363
Principles of Modern Radar,Mark A. Richards,9781891121524,924
Analog Circuit Design,Johan H. Huijsing,9780132543354,413
Basic Economics,Thomas Sowell,9780465060733,704
Introduction to Modern Economic Growth,Daron Acemoglu,9780691132921,990
Modern Principles of Macroeconomics,Tyler Cowen,9781429278409,474
Macroeconomics,N. Gregory Mankiw,9781429218870,598
Advanced Macroeconomics,David Romer,9780073511375,736
Microeconomic Theory,Andreu Mas-Colell,9780195073409,981
Principles of Economics,N. Gregory Mankiw,9781305585126,888
The Oil Curse,Michael L. Ross,9780691159638,289
Capital Vol 1,Karl Marx,9780140445688,1152
Capital,Karl Marx,9780140445695,624
Capital,Karl Marx,9780140445701,1088
The Mystery of Capital,Hernando de Soto,9780465016150,275
The Second Sex,Simone de Beauvoir,9780307277787,800
"The History of Sexuality, Vol. 3",Michel Foucault,9780394741550,279
The history of sexuality,Michel Foucault,9780394751221,304
The Feminine Mystique (50th Anniversary Edition),Betty Friedan,9780393346787,592
Critical Race Theory (Third Edition),Richard Delgado,9781479802760,224
Critical Race Theory,Kimberlé Crenshaw,9781565842717,494
Masculinities,R. W. Connell,9780520246980,324
Just Methods,Alison M. Jaggar,9781612053035,538
"Women's Voices, Feminist Visions: Classic and Contemporary Readings",Susan Shaw,9780078027000,784
Myths of Gender,Anne Fausto-Sterling,9780465047925,310
Feminist Inquiry,M. E. Hawkesworth,9780813537054,286
Teaching Feminist Activism,Nancy A. Naples,9780415931861,324
Research Methods for English Studies,Gabriele Griffin,9780748683437,256
Feminist Methodologies for Critical Researchers,Joey Sprague,9780759109032,237
Feminist Ethnography,D. Davis,9780759122451,248
The Science Question in Feminism,Sandra G. Harding,9780801493638,271
Whose Science? Whose Knowledge?,Sandra G. Harding,9780801497469,319
Feminism And Science,Evelyn Fox Keller,9780198751465,289
Discovering Reality,Sandra Harding,9781402013195,332
Qualitative Research Practice,Jane Ritchie,9781446209127,456
Feminist Research Practice,Sharlene Nagy Hesse-Biber,9781412994972,433
Feminism and Methodology,Sandra G. Harding,9780253204448,193
The Feminist Standpoint Theory Reader,Sandra G. Harding,9780415945011,379
The Postcolonial Science and Technology Studies Reader,Sandra Harding,9780822349570,476
Teaching Critical Thinking,Bell Hooks,9780415968201,191
The Extended Phenotype,Richard Dawkins,9780198788911,496
