Title,Author,ISBN,Pages,Subject
Advanced Engineering Electromagnetics,Constantine A. Balanis,9780470589489,1018,ECE
The Physics of Low-dimensional Semiconductors,John H. Davies,9780521484916,438,ECE
Introduction to Robotics,John J. Craig,9780133489798,448,ECE
"VHDL:Modular Design and Synthesis of Cores and Systems, Third Edition",Zainalabedin Navabi,9780071475457,531,ECE
Computer Vision,David Forsyth,9780136085928,761,ECE
Computer organization and embedded systems,V. Carl Hamacher,9780073380650,,ECE
Discrete-time Signal Processing,Alan V. Oppenheim,9780131988422,1108,ECE
Power Systems Analysis,Arthur R. Bergen,9780136919902,619,ECE
Lasers,A. E. Siegman,9780935702118,1283,ECE
Computational Complexity,Sanjeev Arora,9780521424264,579,ECE
Digital Control Engineering,M. Sami Fadali,9780123943910,582,ECE
Foundations of Analog and Digital Electronic Circuits,Anant Agarwal,9781558607354,984,ECE
The Physics of Solar Cells,Jenny Nelson,9781860943492,363,ECE
Principles of Modern Radar,Mark A. Richards,9781891121524,924,ECE
Analog Circuit Design,Johan H. Huijsing,9780132543354,413,ECE
Basic Economics,Thomas Sowell,9780465060733,704,Economics
Introduction to Modern Economic Growth,Daron Acemoglu,9780691132921,990,Economics
Modern Principles of Macroeconomics,Tyler Cowen,9781429278409,474,Economics
Macroeconomics,N. Gregory Mankiw,9781429218870,598,Economics
Advanced Macroeconomics,David Romer,9780073511375,736,Economics
Microeconomic Theory,Andreu Mas-Colell,9780195073409,981,Economics
Principles of Economics,N. Gregory Mankiw,9781305585126,888,Economics
The Oil Curse,Michael L. Ross,9780691159638,289,Economics
Capital Vol 1,Karl Marx,9780140445688,1152,Economics
Capital,Karl Marx,9780140445695,624,Economics
Capital,Karl Marx,9780140445701,1088,Economics
The Mystery of Capital,Hernando de Soto,9780465016150,275,Economics
A Theory of the Consumption Function,Milton Friedman,9781614278122,258,Economics
The Second Sex,Simone de Beauvoir,9780307277787,800,FemLit
The History Of Sexuality,Michel Foucault,9780679724698,,FemLit
"The History of Sexuality, Vol. 3",Michel Foucault,9780394741550,279,FemLit
The history of sexuality,Michel Foucault,9780394751221,304,FemLit
The Feminine Mystique (50th Anniversary Edition),Betty Friedan,9780393346787,592,FemLit
Critical Race Theory (Third Edition),Richard Delgado,9781479802760,224,FemLit
Intersectionality,Patricia Hill Collins,9780745684499,,FemLit
Critical Race Theory,Kimberlé Crenshaw,9781565842717,494,FemLit
"Black feminist thought: knowledge, consciousness, and the politics of empowerment",Patrici Collins,9780415964722,,FemLit
Masculinities,R. W. Connell,9780520246980,324,FemLit
Just Methods,Alison M. Jaggar,9781612053035,538,FemLit
"Women's Voices, Feminist Visions: Classic and Contemporary Readings",Susan Shaw,9780078027000,784,FemLit
Myths of Gender,Anne Fausto-Sterling,9780465047925,310,FemLit
Feminist Inquiry,M. E. Hawkesworth,9780813537054,286,FemPhilos
Teaching Feminist Activism,Nancy A. Naples,9780415931861,324,FemPhilos
Research Methods for English Studies,Gabriele Griffin,9780748683437,256,FemPhilos
Feminist Methodologies for Critical Researchers,Joey Sprague,9780759109032,237,FemPhilos
The Routledge Companion to Feminist Philosophy,Ann Garry,9781138795921,754,FemPhilos
Feminist Ethnography,D. Davis,9780759122451,248,FemPhilos
Feminist methodologies for critical researchers: bridging differences,Joey Sprague,9781442218727,,FemPhilos
The Science Question in Feminism,Sandra G. Harding,9780801493638,271,FemPhilos
Whose Science? Whose Knowledge?,Sandra G. Harding,9780801497469,319,FemPhilos
Feminism And Science,Evelyn Fox Keller,9780198751465,289,FemPhilos
Discovering Reality,Sandra Harding,9781402013195,332,FemPhilos
Qualitative Research Practice,Jane Ritchie,9781446209127,456,FemPhilos
Feminist Research Practice,Sharlene Nagy Hesse-Biber,9781412994972,433,FemPhilos
Feminism and Methodology,Sandra G. Harding,9780253204448,193,FemPhilos
The Feminist Standpoint Theory Reader,Sandra G. Harding,9780415945011,379,FemPhilos
The Postcolonial Science and Technology Studies Reader,Sandra Harding,9780822349570,476,FemPhilos
Teaching Critical Thinking,Bell Hooks,9780415968201,191,FemPhilos
The Extended Phenotype,Richard Dawkins,9780198788911,496,FH
The Selfish Gene,Charles Simonyi Chair of Public Understanding of Science Richard Dawkins,9780198788607,544,FH
Darwin's Dangerous Idea,Daniel C. Dennett,9780684824710,586,FH
Consciousness explained,D. C. Dennett,9780316180665,,FH
Free Will,Sam Harris,9781451683400,83,FH
The Moral Landscape,Sam Harris,9781439171226,307,FH
Lying,Sam Harris,9781940051000,105,FH
Letter to a Christian Nation,Sam Harris,9780307278777,120,FH
"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris,9780393327656,348,FH
Waking Up,Sam Harris,9781451636024,256,FH
Breaking the Spell,Daniel C. Dennett,9780143038337,448,FH
From Bacteria to Bach and Back,Daniel Clement Dennett,9780393242072,496,FH
Higher Superstition,Paul R. Gross,9780801857072,348,GR
Fashionable Nonsense,Alan Sokal,9780312204075,300,GR
Professing Feminism,Daphne Patai,9780739104552,426,GR
The Origin of Species,Charles Darwin,9781400041275,972,GR
The Victims' Revolution,Bruce Bawer,9780061807374,400,GR
Force and Fanaticism,Simon Ross Valentine,9781849044646,256,GR
The Big Picture,Sean Carroll,9781101984253,480,GR
Astrophysics for People in a Hurry,Neil deGrasse Tyson,9780393609394,144,GR
Decoding the Universe,Charles Seife,9780143038399,304,GR
The Science of Language,Noam Chomsky,9781107016378,321,GR
"Little science, big science-- and beyond",Derek J. de Solla Price,9780231049573,,GR
"The Rise of Statistical Thinking, 1820-1900",Theodore M. Porter,9780691024097,333,GR
Introductuon to project management,Kathy Schwalbe,9780982800331,,GR
The Greatest Story Ever Told--So Far,Lawrence M. Krauss,9781476777610,336,GR
A Universe from Nothing,Lawrence M. Krauss,9781451624465,240,GR
A Treatise On The Fundamental Principles Of Violin Playing,Leopold Mozart,9780193185135,,GR
Tesla,Margaret Cheney,9780743215367,400,GR
The Wizard of Menlo Park,Randall E. Stross,9781400047635,376,GR
Vivaldi,H. C. Robbins Landon,9780226468426,208,GR
Tchaikovsky,David Brown,9781605980171,460,GR
The Cambridge History of the Second World War,John Ferris,9781107038929,872,History
The Cambridge History of the Second World War,Richard Bosworth,9781107034075,720,History
The Cambridge History of the Second World War,Michael Geyer,9781107039957,864,History
The Cambridge History Of The Cold War,Melvyn P. Leffler,9781107602311,,History
The Cambridge History of the Cold War,Melvyn P. Leffler,9781107602304,680,History
The Cambridge History of the Cold War,Melvyn P. Leffler,9781107602298,662,History
"The Cambridge History of the First World War: Volume 3, Civil Society",Jay Winter,9781316601433,779,History
The Cambridge History Of The First World War,Jay Winter,9781316504994,,History
The Cambridge history of the First World War,J. M. Winter,9781316504437,,History
The Art of Not Being Governed,James C. Scott,9780300169171,442,History
The Invisible Bridge,Rick Perlstein,9781476782423,880,History
Nixonland: the rise of a president and the fracturing of America,Rick Perlstein,9780743243032,,History
The Rise and Fall of the Third Reich,William L. Shirer,9781451651683,1249,History
Stalin: The First In-Depth Biography Based On Explosive New Documents From Russia's Secret Archives,E. S. Radinskij,9780385479547,,History
The History Of The Decline And Fall Of The Roman Empire,Edward Gibbon,9780140437645,,History
The Reformation,Diarmaid MacCulloch,9780143035381,,History
A people's history of the United States: 1492-2001,Howard Zinn,9780060838652,,History
A Reader on Punishment,Antony Duff,9780198763536,351,Law
A Theory Of Justice,John Rawls,9780674000780,,Law
The Routledge Companion to Philosophy of Law,Andrei Marmor,9780415878180,630,Law
"Law, Liberty, And Morality",H. L. A. Hart,9780804701549,,Law
Philosophy of Law,Joel Feinberg,9781133942962,1039,Law
The Philosophy of Law,Frederick F. Schauer,9780195155129,1002,Law
Criminal Justice,Frank J. Schmalleger,9780133591316,528,Law
The Oxford Handbook Of Jurisprudence And Philosophy Of Law,Jules Coleman,9780199270972,,Law
Jurisprudence,Brian Bix,9781611637212,364,Law
"Wills, Trusts, and Estates","Thomas M. Featherston, Jr.",9780769896250,193,Law
Wills and trusts in a nutshell,Robert L. Mennell,9781634604871,,Law
"Wills, Trusts, and Estates",Gerry W. Beyer,9781454850052,768,Law
Federal Income Taxation of Individuals in a Nutshell,John K. McNulty,9780314927002,543,Law
