Title,Author,ISBN,Pages,Subject
Disagreement and skepticism,Diego E. Machuca,9780415532839,,Philosophy-Topics
Disagreement,Bryan Frances,9780745672267,,Philosophy-Topics
The epistemology of disagreement: new essays,David Phiroze Christensen,9780198748113,,Philosophy-Topics
Critical theory: the key concepts,Dino Franco Felluga,9780415695657,,Philosophy-Topics
Critical Theory Today,Lois Tyson,9780415506755,470,Philosophy-Topics
Critical theory: a very short introduction,Stephen Eric Bronner,9780199730070,,Philosophy-Topics
Literary Criticism,Charles E. Bressler,9780205212149,336,Philosophy-Topics
Literary Theory: A Very Short Introduction,Jonathan Culler,9780199691340,165,Philosophy-Topics
Post-structuralism: a very short introduction,Catherine Belsey,9780192801807,,Philosophy-Topics
Hermeneutics: A Very Short Introduction,Jens Zimmermann,9780199685356,,Philosophy-Topics
Disagreement,Richard Feldman,9780199226085,304,Philosophy-Topics
The Routledge companion to aesthetics,Dominic Lopes,9780415782876,,Philosophy-Topics
Moral Psychology,Valerie Tiberius,9780415529693,241,Philosophy-Topics
Free Will,Michael McKenna,9780415996877,320,Philosophy-Topics
Philosophy Of Religion: A Contemporary Introduction,Keith E. Yandell,9780415963701,,Philosophy-Topics
Philosophy of Mind,John Heil,9780415891752,281,Philosophy-Topics
Philosophy of economics: a contemporary introduction,Julian Reiss,9780415881173,,Philosophy-Topics
The Routledge companion to social and political philosophy,Gerald F. Gaus,9781138064874,,Philosophy-Topics
An introduction to the philosophy of art,Richard Thomas Eldridge,9781107614444,,Philosophy-Topics
An Introduction to Ontology,Nikk Effingham,9780745652559,224,Philosophy-Topics
Metametaphysics: New Essays On The Foundations Of Ontology,David John Chalmers,9780199546008,,Philosophy-Topics
Ontology and metaontology: a contemporary guide,.. Francesco Berto,9781441182890,,Philosophy-Topics
The Oxford Handbook Of Ethical Theory,David Copp,9780195325911,,Philosophy-Topics
The Oxford Handbook of Free Will,Robert Kane,9780195399691,646,Philosophy-Topics
The Oxford handbook of metaphysics,Dean W. Zimmerman,9780199284221,,Philosophy-Topics
The Oxford Handbook of Philosophy of Time,Craig Callender,9780199679553,704,Philosophy-Topics
Causation: a very short introduction,Rani Lill Anjum,9780199684434,,Philosophy-Topics
Causality,Phyllis McKay Illari,9780199662678,328,Philosophy-Topics
The Oxford handbook of causation,Helen Beebee,9780199642588,,Philosophy-Topics
The Oxford Handbook Of Philosophy Of Mind,Brian McLaughlin,9780199596317,,Philosophy-Topics
The Oxford handbook of the philosophy of language,Ernest LePore,9780199552238,,Philosophy-Topics
Contemporary debates in metaphysics,Theodore Sider,9781405112291,404,Philosophy-Topics
Metaphysics,Peter van Inwagen,9780813349343,,Philosophy-Topics
The Routledge Companion to Metaphysics,Robin Le Poidevin,9780415493963,609,Philosophy-Topics
The Routledge Companion To Epistemology,Sven Bernecker,9780415962193,,Philosophy-Topics
The Routledge companion to philosophy of science,Martin Curd,9780415518758,,Philosophy-Topics
The Routledge Handbook of Evolution and Philosophy,Richard Joyce,9781138789555,440,Philosophy-Topics
The Routledge Handbook Of Philosophy Of Well-Being,Guy Fletcher,9780415714532,,Philosophy-Topics
The Routledge Handbook of Metaethics,Tristram McPherson,9781138812208,500,Philosophy-Topics
The Routledge Handbook of Philosophy of Empathy,Heidi Maibom,9781138855441,396,Philosophy-Topics
The Routledge Handbook of Philosophy of Information,Luciano Floridi,9781138796935,446,Philosophy-Topics
The Routledge Handbook of Philosophy of Memory,Sven Bernecker,9781138909366,612,Philosophy-Topics
The Routledge Handbook of Epistemic Injustice,Ian James Kidd,9781138828254,416,Philosophy-Topics
Contemporary metaethics: an introduction,Alexander Miller,9780745646596,,Philosophy-Topics
The Routledge Handbook of Philosophy of Animal Minds,Kristin Andrews,9781138822887,480,Philosophy-Topics
Metaethics: a contemporary introduction,Mark Steven Van Roojen,9780415894425,,Philosophy-Topics
"Introducing philosophy: God, mind, world, and logic",Neil Tennant,9780415537148,,Philosophy-Topics
Replacing Truth,Kevin Scharp,9780199653850,325,Philosophy-Topics
Free Will,Michael McKenna,9780415996860,320,Philosophy-Topics
Metaphysics,Michael J. Loux,9781138639331,440,Philosophy-Topics
Ethics: a contemporary introduction,Harry J. Gensler,9780415803885,,Philosophy-Topics
Epistemology: a contemporary introduction to the theory of knowledge,Robert Audi,9780415879231,,Philosophy-Topics
Philosophy of Science,Martin Curd,9780393919035,1393,Philosophy-Topics
Philosophy of science: a contemporary introduction,Alexander Rosenberg,9780415891776,,Philosophy-Topics
Causality,Judea Pearl,9780521895606,464,Philosophy-Topics
